kingdom of ruthenia,ukraine
pristina,kosovo
pindorama,brazil
xamayca,jamaica
washington d.c.,usa
hebei,china
iran,iran
yanks,usa
aztl\u00e1n,mexico
guangzhou,china
republic of moldova,moldova
s.r.v.,vietnam
french,france
wuhan,china
r\u00e9publique de vanuatu,vanuatu
acadia,canada
china,china
hobart,australia
\u043c\u0430\u043a\u0435\u0434\u043e\u043d\u0438\u0458\u0430,macedonia [fyrom]
iraq,iraq
mex,mexico
chongqing,china
ukraine,ukraine
philippine islands,philippines
northern mariana islands,usa
canadian,canada
fars,iran
hong kong,china
rsfsr,russia
turkish,turkey
dublin,ireland
alaska,usa
republic of the maldives,maldives
shandong,china
republica moldova,moldova
minsk,belarus
vanuatuan,vanuatu
kathmandu,nepal
republic of singapore,singapore
drc,congo drc
taipei,taiwan
republic of guinea-bissau,guinea-bissau
san juan,puerto rico
u.k.,uk
wyoming,usa
republic of zimbabwe,zimbabwe
\u795e\u5dde,china
egypt,egypt
usono,usa
assyria,iraq
ethiopian,ethiopia
nanjing,china
u.a.e.,united arab emirates
alash,kazakhstan
kingdom of lesotho,lesotho
italians,italy
trucial states,united arab emirates
congolese,congo drc
pyongyang,north korea
paramaribo,suriname
the far west kingdom,morocco
new zealand,new zealand
lima,peru
\u00e9ire,ireland
belizeans,belize
hunan,china
ukr.,ukraine
bissau-guineans,guinea-bissau
saudi arabia,saudi arabia
republika crna gora,montenegro
u.s.a,usa
polish,poland
usa,usa
britannia,uk
\u4e2d\u56fd\u5927\u9646,china
spaniards,spain
indians,india
democratic people's republic of korea,north korea
athens,greece
france,france
liaoning,china
viru,estonia
rwanda,rwanda
republic of serbia,serbia
suriname,suriname
svizra,switzerland
indiana,usa
australian,australia
malawi,malawi
beninoises,benin
british,uk
israel,israel
brazilians,brazil
gaule,france
india,india
georgian,georgia
people's democratic republic of algeria,algeria
czechia,czech republic
saint christopher,saint kitts and nevis
oregon,usa
phnom penh,cambodia
luxembourgish,luxembourg
connecticut,usa
israelis,israel
state of israel,israel
schweiz,switzerland
portugalliae,portugal
portuguese republic,portugal
albanians,albania
burkina faso,burkina
western australia,australia
xiamen,china
burkinab\u00e8,burkina
burkinab\u00e9,burkina
icelanders,iceland
kosovars,kosovo
tokyo,japan
islamabad,pakistan
khmer republic,cambodia
viro,estonia
changsha,china
m\u00e9jico,mexico
mauritanians,mauritania
nebraska,usa
colchis,georgia
conf\u00e9d\u00e9ration suisse,switzerland
russian federation,russia
mesopotamia,iraq
pretoria,south africa
mx,mexico
dominion of new zealand,new zealand
beijing,china
addis ababa,ethiopia
alba,uk
bundesrepublik deutschland,germany
cape town,south africa
lesotho,lesotho
bo\u011fdan,moldova
l\u00ebtzebuerg,luxembourg
suisse,switzerland
\u0440\u043e\u0441\u0441\u0438\u044f,russia
botswanan,botswana
an nam,vietnam
uae,united arab emirates
zanzibar,tanzania
swedish,sweden
new delhi,india
french congo,republic of the congo
kinshasa,congo drc
montenegrin,montenegro
oslo,norway
east germany,germany
kuala lumpur,malaysia
me\u1e63r,egypt
new hebrides,vanuatu
magyars,hungary
lithuanians,lithuania
bechuanaland,botswana
topeka,usa
shanxi,china
michigan,usa
idaho,usa
vietnam,vietnam
trinis,trinidad and tobago
t\u00fcrkiye cumhuriyeti,turkey
seoul,south korea
free china,taiwan
lithuanian,lithuania
yunnan,china
changchun,china
(al-)hind,india
the sudan,sudan
portugaliae,portugal
\u062a\u0648\u0646\u0633,tunisia
englishmen,uk
kenyans,kenya
south africa,south africa
black mountain,montenegro
banba,ireland
nanchang,china
perfidious albion,uk
\u4e2d\u83ef\u6c11\u570b,taiwan
kingdom of hungary,hungary
netherlanders,netherlands
helsinki,finland
moroccans,morocco
little red dot,singapore
u.s. virgin islands,usa
hellenic,greece
habeshastan,ethiopia
greek,greece
burmese,myanmar
capitania general de chile,chile
congo drc,congo drc
west virginia,usa
british east africa protectorate,kenya
ouagadougou,burkina
moldavian soviet socialist republic,moldova
putrajaya,malaysia
tbilisi,georgia
al-mamlaka al-arabiyya as-saudiyya,saudi arabia
commonwealth of puerto rico,puerto rico
liban,lebanon
qazaqstan,kazakhstan
mexican,mexico
people's republic of kampuchea,cambodia
canberra,australia
espa\u00f1a,spain
gudija,belarus
prussia,germany
reyno de chile,chile
united states of america,usa
romania,romania
\u092e\u093e\u0932\u0926\u0940\u0935/mal\u00e9ldvipa,maldives
rhode island,usa
north korea,north korea
helena,usa
palauans,palau
london,uk
\u0b87\u0bb2\u0b99\u0bcd\u0b95\u0bc8,sri lanka
japan,japan
republic of zambia,zambia
argentines,argentina
\u4e2d\u534e\u4eba\u6c11\u5171\u548c\u56fd,china
the lebanese republic,lebanon
the former yugoslav republic of macedonia,macedonia [fyrom]
republic of hungary,hungary
anhui,china
federative republic of brazil,brazil
\u0e1b\u0e23\u0e30\u0e40\u0e17\u0e28\u0e2a\u0e22\u0e32\u0e21,thailand
lubnan,lebanon
burkina,burkina
lithuania,lithuania
grand-duch\u00e9 de luxembourg,luxembourg
denver,usa
\u0627\u0644\u062f\u0648\u0644\u0629 \u0627\u0644\u0645\u062d\u0644\u062f\u064a\u0628\u064a\u0629/dhibat-al-mahal,maldives
united kingdom,uk
estados unidos mexicanos,mexico
people's republic of china,china
cheyenne,usa
per\u00fa,peru
puerto rico,puerto rico
c\u00f4te d'ivoire,ivory coast
republic of austria,austria
argentina,argentina
norway,norway
texas,usa
koreans,north korea
belarus,belarus
iowa,usa
beninois,benin
zagreb,croatia
chileans,chile
azerbaijani,azerbaijan
republic of the union of myanmar,myanmar
sabah,malaysia
harrisburg,usa
henan,china
dodoma,tanzania
tuvaluans,tuvalu
republic of kosovo,kosovo
duitsland,germany
la piel de toro,spain
maldivian,maldives
rumania,romania
bangui,central african republic
netherlands,netherlands
republic of benin,benin
algerian,algeria
ophiussa,portugal
porte,turkey
deutschland,germany
new zealanders,new zealand
pakistanis,pakistan
irishwomen,ireland
latvia,latvia
surinamese,suriname
springfield,usa
luxitania,portugal
sri lanka,sri lanka
champa,vietnam
insulinde,indonesia
republiken finland,finland
mosotho,lesotho
magyar n\u00e9pk\u00f6zt\u00e1rsas\u00e1g,hungary
romanian people's republic,romania
vanuatri,vanuatu
belgrade,serbia
concord,usa
cairo,egypt
botswanans,botswana
heladiva (land of sinhalese),sri lanka
republic of botswana,botswana
white russia,belarus
magyarorsz\u00e1g,hungary
hawaii,usa
saint kitts-nevis-anguilla,saint kitts and nevis
ukrainians,ukraine
r\u00e9publique islamique de mauritanie,mauritania
columbia,usa
zaire,congo drc
latvija,latvia
la france,france
canada,canada
tanzanians,tanzania
svizzera,switzerland
guangdong,china
jackson,usa
kiev,ukraine
\u0440\u043e\u0441\u0441\u0438\u0439\u0441\u043a\u0430\u044f \u0444\u0435\u0434\u0435\u0440\u0430\u0446\u0438\u044f,russia
rep\u00fablica mexicana,mexico
tianjin,china
greeks,greece
oklahoma,usa
nepal,nepal
republic of georgia,georgia
central african republic,central african republic
\u0e1b\u0e23\u0e30\u0e40\u0e17\u0e28\u0e44\u0e17\u0e22,thailand
rf,russia
v.n.,vietnam
tallinn,estonia
dutch,netherlands
britons,uk
croatia,croatia
kiwis,new zealand
dutch guiana,suriname
suomen tasavalta,finland
\u05de\u05d3\u05d9\u05e0\u05ea \u05d9\u05e9\u05e8\u05d0\u05dc,israel
jiangsu,china
arizona,usa
wisconsin,usa
azeris,azerbaijan
bh\u0101rat prajatantra,india
argentine nation,argentina
u.s.,usa
the states,usa
terra de santa cruz,brazil
espainia,spain
california,usa
portugalensium patrie,portugal
egyptians,egypt
cameroonian,cameroon
srbija,serbia
lebnan,lebanon
r\u00e9publique du b\u00e9nin,benin
bangladesh,bangladesh
republic of albania,albania
chilli,chile
shaanxi,china
norwegian,norway
tennessee,usa
bern,switzerland
finland,finland
florida,usa
republic of ireland,ireland
medinat yisra'el,israel
american,usa
raleigh,usa
charleston,usa
fujian,china
austin,usa
federal republic of germany,germany
olympia,usa
maldivians,maldives
british honduras,belize
central africans,central african republic
r\u00e9publique du rwanda,rwanda
united commonwealth of the two nations,poland
irish free state,ireland
bassarabia,moldova
guam,usa
usonia,usa
ottoman empire,turkey
tuvaluan,tuvalu
republic of kazakhstan,kazakhstan
maldives,maldives
scotswomen,uk
congo,republic of the congo
americans,usa
al-jaz\u0101\u2019ir,algeria
spanish,spain
singapura,singapore
yerevan,armenia
vardar banovina,macedonia [fyrom]
nyasaland,malawi
ulster,uk
kittitians,saint kitts and nevis
the maldive islands,maldives
republika e kosov\u00ebs,kosovo
hellenes,greece
republic of trinidad and tobago,trinidad and tobago
riga,latvia
rep\u00fablica del per\u00fa,peru
hellenic republic,greece
north carolina,usa
palauan,palau
konungariket sverige,sweden
cabo verdean,cape verde
new york,usa
republic of korea,south korea
formosa,taiwan
borik\u00e9n,puerto rico
siam,thailand
fodla,ireland
rep\u00fablika ng pilipinas,philippines
gansu,china
danish,denmark
\u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629 \u0627\u0644\u062a\u0648\u0646\u0633\u064a\u0629,tunisia
magyar tan\u00e1csk\u00f6zt\u00e1rsas\u00e1g,hungary
portuguese guinea,guinea-bissau
obock territory,djibouti
moscow,russia
brazilian,brazil
montenegro,montenegro
sri lankans,sri lanka
hibernia,ireland
saudi arabians,saudi arabia
new china,china
jordan,jordan
honolulu,usa
dawlat isra'il,israel
borinquen,puerto rico
united states of brazil,brazil
moldovan,moldova
ghanaian,ghana
communist china,china
pakistani,pakistan
x\u012bnji\u0101p\u014d/\u65b0\u52a0\u5761,singapore
holland,netherlands
trinbago,trinidad and tobago
latvians,latvia
saudi arabian,saudi arabia
fyrom,macedonia [fyrom]
k\u012bmi,egypt
republic of cameroon,cameroon
kongeriket norge,norway
sweden,sweden
\u0430\u043b\u0430\u0448,kazakhstan
belarusians,belarus
ningbo,china
al-habasha,ethiopia
republic of palau,palau
indonesia,indonesia
republic of rwanda,rwanda
russia,russia
fr\u00f3n,iceland
north dakota,usa
macau,china
saipan,usa
boston,usa
welshmen,uk
philippine,philippines
hellas,greece
cape verde,cape verde
han-guk (\ud55c\uad6d),south korea
aegyptus,egypt
republic of china,taiwan
estado libre asociado de puerto rico,puerto rico
p\u00e1tria lusitana,portugal
ch'in empire,china
juneau,usa
serbia,serbia
tobagonian,trinidad and tobago
svea rike,sweden
"pays des mille collines",rwanda
warsaw,poland
rok,south korea
bavaria,germany
\u0bae\u0bb2\u0bc7\u0b9a\u0bbf\u0baf\u0bbe/ malesiya,malaysia
nederland,netherlands
russians,russia
abu dhabi,united arab emirates
port of spain,trinidad and tobago
montgomery,usa
south korean,south korea
taiwanese,taiwan
tirana,albania
paris,france
realm of new zealand,new zealand
beirut,lebanon
cameroon,cameroon
benin,benin
bohemia,czech republic
brazil,brazil
lettland,latvia
hungaria,hungary
pays-bas,netherlands
'pin\u00e1s,philippines
territoire fran\u00e7ais des afars et des issas,djibouti
ukrainian,ukraine
iceland,iceland
ra\u0161ka,serbia
english,uk
nusantara,indonesia
la argentina,argentina
victoria,australia
emirians,united arab emirates
bissau-guinean,guinea-bissau
skopje,macedonia [fyrom]
montana,usa
germany,germany
al emirat al arabbiya al muttahida,united arab emirates
republik \u00f6sterreich,austria
portugalliae et algarbiae,portugal
r\u00e9publique de djibouti,djibouti
united republic of cameroon,cameroon
\u0440\u0435\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u0441\u043e\u0432\u0435\u0442\u0438\u043a\u044d \u0441\u043e\u0447\u0438\u0430\u043b\u0438\u0441\u0442\u044d \u043c\u043e\u043b\u0434\u043e\u0432\u0435\u043d\u044f\u0441\u043a\u044d,moldova
estonian,estonia
french indochina,vietnam
bharatham,india
rzeczpospolita obojga narod\u00f3w,poland
r.o.k.,south korea
royaume du cambodge,cambodia
jakarta,indonesia
tanzania,tanzania
haikou,china
rabat,morocco
democratic kampuchea,cambodia
taiwan, province of china,taiwan
french somaliland,djibouti
lusaka,zambia
united republic of tanzania,tanzania
moldovans,moldova
hartford,usa
harbin,china
jiangxi,china
al jumhuriyya al jazaa'iriyya ad-d\u012bmuqr\u0101\u0163iyya ash sha'biyya,algeria
madison,usa
gaborone,botswana
ala\u015f,kazakhstan
kosovo,kosovo
german,germany
austrians,austria
\u65b0\u4e2d\u56fd,china
enotria,italy
\u043b\u0438\u0442\u0432\u0430,lithuania
tallahassee,usa
esperia,italy
tehran,iran
jordanian,jordan
colombo,sri lanka
cambodian,cambodia
puerto ricans,puerto rico
singaporean,singapore
dutchmen,netherlands
nevada,usa
thai,thailand
singaporeans,singapore
netherlands guiana,suriname
iranian, persian,iran
south africans,south africa
peru,peru
des moines,usa
romanian,romania
islamic republic of iran,iran
minnesota,usa
c\u1ed9ng h\u00f2a x\u00e3 h\u1ed9i ch\u1ee7 ngh\u0129a vi\u1ec7t nam,vietnam
lansing,usa
filipinos,philippines
brazzaville,republic of the congo
saint kitts,saint kitts and nevis
ksa,saudi arabia
abyssinia,ethiopia
poles,poland
socialist republic of romania,romania
darwin,australia
republic of peru,peru
bissau,guinea-bissau
montpelier,usa
nevisians,saint kitts and nevis
hungarian,hungary
gro\u00dfherzogtum luxemburg,luxembourg
zambia,zambia
dae-han-min-guk (\ub300\ud55c\ubbfc\uad6d),south korea
azerbaijan,azerbaijan
crna gora,montenegro
emiri,united arab emirates
baghdad,iraq
malawian,malawi
arab republic of egypt,egypt
french republic,france
kazakhstan,kazakhstan
nevisian,saint kitts and nevis
bessarabia,moldova
emiratis,united arab emirates
budapest,hungary
cho-son (\uc870\uc120),north korea
cambodians,cambodia
u.s.a.,usa
macedonian,macedonia [fyrom]
republic of malawi,malawi
denmark,denmark
southern rhodesia,zimbabwe
malaysian,malaysia
funafuti,tuvalu
republica socialist\u0103 rom\u00e2nia,romania
republic of rhodesia,zimbabwe
suomi,finland
hangzhou,china
gaul,france
burtugh\u0101l,portugal
republic of azerbaijan,azerbaijan
salt lake city,usa
kazakhs,kazakhstan
philippinean,philippines
ubangi-shari,central african republic
territoire d'obock,djibouti
l\u0129nh nam,vietnam
\u81fa\u7063/\u53f0\u7063,taiwan
albania,albania
macedonia [fyrom],macedonia [fyrom]
serbia and montenegro,serbia
kampuchea,cambodia
separate customs territory of taiwan, penghu, kinmen and matsu,taiwan
american samoa,usa
federation of malaysia,malaysia
australia,australia
yugoslavia,serbia
polska rzeczpospolita ludowa,poland
maarjamaa,estonia
swedes,sweden
greece,greece
yamoussoukro,ivory coast
indonesians,indonesia
indoscythia,pakistan
israeli,israel
frankfort,usa
russian socialist federative soviet republic,russia
las islas filipinas,philippines
noreg,norway
hrvatska,croatia
berlin,germany
northern irishmen,uk
mahal dvipa,maldives
baku,azerbaijan
hainan,china
north korean,north korea
state of cambodia,cambodia
tunis,tunisia
welshwomen,uk
chili,chile
oklahoma city,usa
ethiopi\u00eb,ethiopia
sarawak,malaysia
borinken,puerto rico
korea,south korea
belizean,belize
uk,uk
mexicans,mexico
united arab emirates,united arab emirates
nashville,usa
khartoum,sudan
reino de espa\u00f1a,spain
xining,china
aryavarta,india
armenia,armenia
kingdom of the netherlands,netherlands
filipinas,philippines
caledonia,uk
elangai,sri lanka
cymru,uk
republic of belarus,belarus
bangkok,thailand
united provinces of the r\u00edo de la plata,argentina
thule,sweden
kigali,rwanda
bras\u00edlia,brazil
sri jayawardenepura kotte,sri lanka
great britain,uk
macedonia,macedonia [fyrom]
lilongwe,malawi
norge,norway
saint kitts and nevis,saint kitts and nevis
montenegrins,montenegro
canadians,canada
regnum hungari\u00e6,hungary
koninkrijk der nederlanden,netherlands
algerians,algeria
soome,finland
armenian,armenia
republic of turkey,turkey
galician-portuguese,portugal
ch,switzerland
ilha de vera cruz,brazil
czech republic,czech republic
tunisia,tunisia
west pakistan,pakistan
sinhapura,singapore
batavia,netherlands
\u05d0\u05e8\u05e5 \u05d4\u05e7\u05d5\u05d3\u05e9,israel
republic of the congo,republic of the congo
la pell de brau,spain
pago pago,usa
shenzhou,china
scottish,uk
zeta,montenegro
hrva\u0161ka,croatia
turkey,turkey
paeonia,macedonia [fyrom]
belize,belize
frg,germany
prc,china
associated free state of puerto rico,puerto rico
germans,germany
vienna,austria
buenos aires,argentina
lusitania,portugal
motswana,botswana
guinea,guinea-bissau
federal democratic republic of ethiopia,ethiopia
kingdom of galicia\u2013volhynia,ukraine
l'hexagone,france
\u0111\u1ea1i vi\u1ec7t,vietnam
ph,philippines
confederazione svizzera,switzerland
louisiana,usa
hubei,china
ruanda,rwanda
lanzhou,china
malawians,malawi
kingston,jamaica
cabo verdeans,cape verde
zaporizhian host,ukraine
algeria,algeria
republika e shqip\u00ebris\u00eb,albania
basseterre,saint kitts and nevis
republica popular\u0103 rom\u00een\u0103,romania
emirati,united arab emirates
danmark,denmark
kunming,china
republika srbija,serbia
kongeriget danmark,denmark
chile,chile
atlanta,usa
pulau ujong,singapore
spain,spain
hag\u00e5t\u00f1a,usa
kongeriket noreg,norway
federation of pakistan,pakistan
lisbon,portugal
georgia,georgia
zambians,zambia
saint christopher-nevis-anguilla,saint kitts and nevis
servia,serbia
frenchwomen,france
ocidental praia lusitana,portugal
kentucky,usa
augusta,usa
portingall,portugal
\u00edsafold,iceland
argentine,argentina
federation of saint christopher and nevis,saint kitts and nevis
south carolina,usa
united mexican states,mexico
argentine confederation,argentina
ivorians,ivory coast
\u9a6c\u6765\u897f\u4e9a/ m\u01cel\u00e1ix\u012by\u00e0,malaysia
\u4e2d\u56fd,china
hijaz,saudi arabia
zimbabweans,zimbabwe
kosovan,kosovo
ivorian,ivory coast
portugal,portugal
mexico,mexico
rom\u00e2nia,romania
danes,denmark
indonesian,indonesia
vn,vietnam
hefei,china
sudanese,sudan
vi\u1ec7t nam,vietnam
congo kinshasa,congo drc
port vila,vanuatu
kosovar,kosovo
kenya,kenya
republic of kenya,kenya
republiek suriname,suriname
indunesia,indonesia
\u049b\u0430\u0437\u0430\u049b\u0441\u0442\u0430\u043d \u0440\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430\u0441\u044b,kazakhstan
albany,usa
italy,italy
chinese taipei,taiwan
kingdom of cambodia,cambodia
people's republic of bangladesh,bangladesh
annapolis,usa
dominion of canada,canada
magyar,hungary
jefferson city,usa
giao ch\u1ec9,vietnam
ethiopia,ethiopia
republic of india,india
scotsmen,uk
manila,philippines
amman,jordan
trinibagonians,trinidad and tobago
malaya,malaysia
porto rico,puerto rico
nouvelles hebrides,vanuatu
luxemburg,luxembourg
ghanaians,ghana
mexico city,mexico
northern irishwomen,uk
indianapolis,usa
austrian,austria
singapore,singapore
welsh,uk
sacramento,usa
frenchmen,france
niuhebridis,vanuatu
islamic republic of pakistan,pakistan
praia,cape verde
djiboutians,djibouti
prague,czech republic
reykjav\u00edk,iceland
kazakh,kazakhstan
dhaka,bangladesh
vermont,usa
deutsche demokratische republik,germany
republic of the sudan,sudan
republic of poland,poland
pennsylvania,usa
iraqis,iraq
poland,poland
basotho,lesotho
wellington,new zealand
empire of brazil,brazil
las islas felipenas,philippines
rome,italy
commonwealth of australia,australia
eesti,estonia
sri lankan,sri lanka
swiss,switzerland
hashemite kingdom of jordan,jordan
byelorussia,belarus
yamato,japan
kazakhstanis,kazakhstan
yankees,usa
gdr,germany
alemannia,germany
\u03b5\u03bb\u03bb\u03ac\u03c2,greece
l\u00fd\u00f0veldi\u00f0 \u00edsland,iceland
pakistan,pakistan
brisbane,australia
spanish state,spain
bangladeshis,bangladesh
belarusian,belarus
r\u00e9publique centrafricaine,central african republic
poblacht na h\u00e9ireann,ireland
djibouti,djibouti
ausonia,italy
russland,russia
helvetia,switzerland
republic of macedonia,macedonia [fyrom]
iere,trinidad and tobago
taiwan,taiwan
tanah melayu,malaysia
south australia,australia
ukra\u0457na,ukraine
zhengzhou,china
icelandic,iceland
myanmar,myanmar
serbs,serbia
harare,zimbabwe
german democratic republic,germany
\u00edsland,iceland
islas de san l\u00e1zaro,philippines
cotonou,benin
portingal,portugal
democratic socialist republic of sri lanka,sri lanka
zhongguo,china
perth,australia
ni-vanuatu,vanuatu
sydney,australia
hanoi,vietnam
guizhou,china
dover,usa
terra di papaga,brazil
jinan,china
aztl\u0101n,mexico
argentine republic,argentina
d.p.r.k., dprk,north korea
utah,usa
virginia,usa
new holland,australia
turkish empire,turkey
northern irish,uk
jamaicans,jamaica
peruvian republic,peru
mauritanian,mauritania
ripablik blong vanuatu,vanuatu
astana,kazakhstan
\u65e5\u672c,japan
new south wales,australia
lincoln,usa
iberia,georgia
maghreb,morocco
finnish,finland
ratnadeepa (island of gems),sri lanka
confederaziun svizra,switzerland
albanian,albania
asia minor,turkey
regno portugalensium,portugal
austria,austria
boise,usa
guiyang,china
district of columbia,usa
accra,ghana
serbian,serbia
\u0e23\u0e32\u0e0a\u0e2d\u0e32\u0e13\u0e32\u0e08\u0e31\u0e01\u0e23\u0e44\u0e17\u0e22,thailand
nairobi,kenya
emirian,united arab emirates
italian,italy
bucharest,romania
alabama,usa
bourkina-fasso,burkina
baton rouge,usa
\u010desko,czech republic
ivory coast,ivory coast
czech,czech republic
madrid,spain
nepalese,nepal
lebanon,lebanon
santiago,chile
abidjan,ivory coast
finns,finland
cathay,china
malaysia,malaysia
kenya colony,kenya
thailand,thailand
roumania,romania
\u4e2d\u56fd\u5167\u5730,china
vilnius,lithuania
upper volta,burkina
rhodesia,zimbabwe
anatolia,turkey
freedonia,usa
brd,germany
podgorica,montenegro
sudan,sudan
ddr,germany
delaware,usa
luxembourg,luxembourg
hayastan,armenia
providence,usa
zimbabwe,zimbabwe
fuzhou,china
mahdist state,sudan
\u4e2d\u83ef\u53f0\u5317,taiwan
iveria,georgia
great russia,russia
indonesi\u00eb,indonesia
republic of the philippines,philippines
rwandan,rwanda
stockholm,sweden
columbus,usa
purtugall,portugal
englishwomen,uk
oualie,saint kitts and nevis
tobagonians,trinidad and tobago
jordanians,jordan
trinidadian,trinidad and tobago
\u4e2d\u5171,china
kingdom of sweden,sweden
republic of chile,chile
scots,uk
svitjod,sweden
\u03b5\u03bb\u03bb\u03ac\u03b4\u03b1,greece
turks,turkey
hungarians,hungary
new mexico,usa
rus,russia
belau,palau
gold coast,ghana
qingdao,china
saudis,saudi arabia
kazakhstani,kazakhstan
chilean,chile
rep\u00fablica peruana,peru
saxony,germany
filipino,philippines
kutaisi,georgia
filipina,philippines
persia,iran
romanians,romania
kingdom of saudi arabia,saudi arabia
azania,south africa
tirrenia,italy
\u049b\u0430\u0437\u0430\u049b\u0441\u0442\u0430\u043d,kazakhstan
melbourne,australia
\u0b87\u0bb2\u0b99\u0bcd\u0b95\u0bc8 \u0b9a\u0ba9\u0ba8\u0bbe\u0baf\u0b95 \u0b9a\u0bcb\u0b9a\u0bb2\u0bbf\u0b9a\u0b95\u0bcd \u0b95\u0bc1\u0b9f\u0bbf\u0baf\u0bb0\u0b9a\u0bc1,sri lanka
srv,vietnam
pinoys,philippines
latvian,latvia
\u00f6sterreich,austria
jamhuri ya kenya,kenya
french territory of the afars and the issas,djibouti
peruvians,peru
repubblica italiana,italy
trinidadians,trinidad and tobago
kingdom of morocco,morocco
haute-volta,burkina
burma,myanmar
tanganyika,tanzania
guin\u00e9-bissao,guinea-bissau
colorado,usa
boricuas,puerto rico
portuguese,portugal
bamar,myanmar
m\u00e9xico,mexico
washington,usa
magyar kir\u00e1lys\u00e1g,hungary
surinam,suriname
union of india,india
united states,usa
cabo verde,cape verde
dominion of pakistan,pakistan
ohio,usa
amsterdam,netherlands
beninese,benin
democratic republic of congo,congo drc
northern rhodesia,zambia
aotearoa,new zealand
az\u0259rbaycan respublikas\u0131,azerbaijan
basutoland,lesotho
mississippi,usa
south dakota,usa
bh\u0101ratavar\u1e63a,india
\u05d0\u05e8\u05e5 \u05d9\u05e9\u05e8\u05d0\u05dc,israel
new jersey,usa
new hampshire,usa
anglo-egyptian sudan,sudan
serbians,serbia
cetinje,montenegro
shenyang,china
regatul rom\u00e2niei,romania
saorst\u00e1t \u00e9ireann,ireland
italia,italy
\u53f0\u7063\u3001\u6f8e\u6e56\u3001\u91d1\u9580\u53ca\u99ac\u7956\u500b\u5225\u95dc\u7a05\u9818\u57df,taiwan
mi\u1e63r,egypt
south korea,south korea
dalian,china
estonians,estonia
deutsch-ostafrika,tanzania
\u078b\u07a8\u0788\u07ac\u0780\u07a8\u0783\u07a7\u0787\u07b0\u0796\u07ac/dhivehi raajje,maldives
\u062f\u064e\u0648\u0652\u0644\u064e\u0629 \u0625\u0650\u0633\u0652\u0631\u064e\u0627\u0626\u0650\u064a\u0644,israel
tuvalu,tuvalu
cameroonians,cameroon
azeri,azerbaijan
ireland,ireland
qinghai,china
portugraal,portugal
switzerland,switzerland
igaunija,estonia
saudia,saudi arabia
xi'an,china
pierre,usa
schweizerische eidgenossenschaft,switzerland
litva,lithuania
rp,poland
the jewish state,israel
republic of congo,republic of the congo
congo brazzaville,republic of the congo
tasmania,australia
lietuva,lithuania
chi\u0219in\u0103u,moldova
dominion du canada,canada
ellice islands,tuvalu
algiers,algeria
polska,poland
hindustan,india
macedonians,macedonia [fyrom]
santa fe,usa
eretz yisrael,israel
rzeczpospolita,poland
us,usa
